inicio de conexion;cliente1; 1688921424
inicio de conexion;cliente2; 1688921425
inicio de conexion;cliente3; 1688921427
3a6a8bfc-1e79-11ee-a424-557cb373497c; 1688921651; buscar por categorias; ini; 1688921652; cliente2; 1688921652
3a6a8bfc-1e79-11ee-a424-557cb373497c; 1688921651; buscar por categorias; fin; 1688921652; cliente2; 1688921652
3c10386c-1e79-11ee-a424-557cb373497c; 1688921654; buscar por categorias; ini; 1688921654; cliente1; 1688921654
3c10386c-1e79-11ee-a424-557cb373497c; 1688921654; buscar por categorias; fin; 1688921654; cliente1; 1688921654
3c11b944-1e79-11ee-a424-557cb373497c; 1688921654; buscar por categorias; ini; 1688921654; cliente3; 1688921654
3c11b944-1e79-11ee-a424-557cb373497c; 1688921654; buscar por categorias; fin; 1688921654; cliente3; 1688921654
3c111322-1e79-11ee-a424-557cb373497c; 1688921654; buscar por categorias; ini; 1688921655; cliente2; 1688921655
3c111322-1e79-11ee-a424-557cb373497c; 1688921654; buscar por categorias; fin; 1688921655; cliente2; 1688921655
3df6369a-1e79-11ee-a424-557cb373497c; 1688921657; buscar por categorias; ini; 1688921657; cliente1; 1688921657
3df6369a-1e79-11ee-a424-557cb373497c; 1688921657; buscar por categorias; fin; 1688921657; cliente1; 1688921657
3df7c9f6-1e79-11ee-a424-557cb373497c; 1688921657; buscar por categorias; ini; 1688921657; cliente3; 1688921657
3df7c9f6-1e79-11ee-a424-557cb373497c; 1688921657; buscar por categorias; fin; 1688921657; cliente3; 1688921657
3df720c8-1e79-11ee-a424-557cb373497c; 1688921657; buscar por categorias; ini; 1688921658; cliente2; 1688921658
3df720c8-1e79-11ee-a424-557cb373497c; 1688921657; buscar por categorias; fin; 1688921658; cliente2; 1688921658
3fbcd290-1e79-11ee-a424-557cb373497c; 1688921660; buscar por categorias; ini; 1688921660; cliente1; 1688921660
3fbcd290-1e79-11ee-a424-557cb373497c; 1688921660; buscar por categorias; fin; 1688921660; cliente1; 1688921660
3fbe26a4-1e79-11ee-a424-557cb373497c; 1688921660; buscar por categorias; ini; 1688921660; cliente3; 1688921660
3fbe26a4-1e79-11ee-a424-557cb373497c; 1688921660; buscar por categorias; fin; 1688921660; cliente3; 1688921660
3fbd9ffe-1e79-11ee-a424-557cb373497c; 1688921660; buscar por categorias; ini; 1688921661; cliente2; 1688921661
3fbd9ffe-1e79-11ee-a424-557cb373497c; 1688921660; buscar por categorias; fin; 1688921661; cliente2; 1688921661
4200dc9a-1e79-11ee-a424-557cb373497c; 1688921664; buscar por categorias; ini; 1688921664; cliente2; 1688921664
4200dc9a-1e79-11ee-a424-557cb373497c; 1688921664; buscar por categorias; fin; 1688921664; cliente2; 1688921664
42004956-1e79-11ee-a424-557cb373497c; 1688921664; buscar por categorias; ini; 1688921664; cliente1; 1688921664
42004956-1e79-11ee-a424-557cb373497c; 1688921664; buscar por categorias; fin; 1688921664; cliente1; 1688921664
420160ca-1e79-11ee-a424-557cb373497c; 1688921664; buscar por categorias; ini; 1688921664; cliente3; 1688921664
420160ca-1e79-11ee-a424-557cb373497c; 1688921664; buscar por categorias; fin; 1688921664; cliente3; 1688921664
44003766-1e79-11ee-a424-557cb373497c; 1688921667; buscar por categorias; ini; 1688921667; cliente1; 1688921667
44003766-1e79-11ee-a424-557cb373497c; 1688921667; buscar por categorias; fin; 1688921667; cliente1; 1688921667
4401fbf0-1e79-11ee-a424-557cb373497c; 1688921667; buscar por categorias; ini; 1688921667; cliente3; 1688921667
4401fbf0-1e79-11ee-a424-557cb373497c; 1688921667; buscar por categorias; fin; 1688921667; cliente3; 1688921667
4401219e-1e79-11ee-a424-557cb373497c; 1688921667; buscar por categorias; ini; 1688921668; cliente2; 1688921668
4401219e-1e79-11ee-a424-557cb373497c; 1688921667; buscar por categorias; fin; 1688921668; cliente2; 1688921668
461d33f0-1e79-11ee-a424-557cb373497c; 1688921671; buscar por categorias; ini; 1688921671; cliente2; 1688921671
461d33f0-1e79-11ee-a424-557cb373497c; 1688921671; buscar por categorias; fin; 1688921671; cliente2; 1688921671
461c578c-1e79-11ee-a424-557cb373497c; 1688921671; buscar por categorias; ini; 1688921671; cliente1; 1688921671
461c578c-1e79-11ee-a424-557cb373497c; 1688921671; buscar por categorias; fin; 1688921671; cliente1; 1688921671
461e0320-1e79-11ee-a424-557cb373497c; 1688921671; buscar por categorias; ini; 1688921671; cliente3; 1688921671
461e0320-1e79-11ee-a424-557cb373497c; 1688921671; buscar por categorias; fin; 1688921671; cliente3; 1688921672
47f5a6f8-1e79-11ee-a424-557cb373497c; 1688921674; buscar por categorias; ini; 1688921674; cliente2; 1688921674
47f5a6f8-1e79-11ee-a424-557cb373497c; 1688921674; buscar por categorias; fin; 1688921674; cliente2; 1688921674
47f4e39e-1e79-11ee-a424-557cb373497c; 1688921674; buscar por categorias; ini; 1688921674; cliente1; 1688921674
47f4e39e-1e79-11ee-a424-557cb373497c; 1688921674; buscar por categorias; fin; 1688921674; cliente1; 1688921674
47f640fe-1e79-11ee-a424-557cb373497c; 1688921674; buscar por categorias; ini; 1688921675; cliente3; 1688921675
47f640fe-1e79-11ee-a424-557cb373497c; 1688921674; buscar por categorias; fin; 1688921675; cliente3; 1688921675
4a48dce0-1e79-11ee-a424-557cb373497c; 1688921678; buscar por categorias; ini; 1688921678; cliente2; 1688921678
